type,iron
BEEF,2.04
BEEF,2.2
BEEF,1.36
BEEF,1.34
BEEF,2.06
BEEF,2.78
BEEF,1.53
BEEF,1.57
BEEF,1.85
BEEF,1.83
BEEF,1.85
BEEF,0.72
BEEF,1.08
BEEF,1.92
BEEF,1.99
BEEF,2.4
BEEF,1.55
BEEF,3.33
BEEF,1.8
BEEF,1.62
BEEF,3.47
BEEF,1.84
BEEF,1.87
BEEF,1.8
BEEF,2.18
BEEF,1.98
BEEF,1.55
BEEF,2.31
BEEF,2.16
BEEF,3.36
BEEF,2.7
BEEF,2.71
BEEF,2.75
BEEF,2.32
BEEF,3.86
BEEF,1.98
BEEF,3.16
BEEF,1.65
BEEF,3.57
BEEF,1.94
BEEF,3.19
BEEF,2.34
BEEF,2.27
BEEF,2.42
BEEF,2.55
BEEF,2.22
BEEF,2.3
BEEF,4.31
BEEF,6.38
BEEF,4.6
BEEF,5.8
BEEF,4.9
BEEF,6.54
BEEF,6.17
BEEF,7.95
BEEF,5.4
BEEF,5.67
BEEF,2.22
BEEF,2.61
BEEF,44.55
BEEF,39.36
BEEF,0.17
BEEF,2.1
BEEF,1.49
BEEF,2.95
BEEF,2.61
BEEF,0.59
BEEF,1.86
BEEF,2.83
BEEF,1.23
BEEF,3.14
BEEF,1.69
BEEF,1.86
BEEF,2.08
BEEF,2.43
BEEF,2.42
BEEF,3.31
BEEF,3.32
BEEF,3.45
BEEF,3.37
BEEF,2.22
BEEF,2.42
BEEF,1.76
BEEF,2.85
BEEF,2.4
BEEF,2.82
BEEF,2.79
BEEF,2.69
BEEF,2.98
BEEF,2.98
BEEF,2.88
BEEF,2.53
BEEF,2.81
BEEF,2.76
BEEF,2.82
BEEF,2.34
BEEF,2.79
BEEF,2.42
BEEF,2.38
BEEF,2.89
BEEF,2.77
BEEF,3.18
BEEF,2.68
BEEF,2.67
BEEF,3.68
BEEF,3.2
BEEF,3.18
BEEF,2.33
BEEF,2.4
BEEF,2.82
BEEF,2.82
BEEF,2.82
BEEF,1.75
BEEF,2.28
BEEF,2.3
BEEF,1.87
BEEF,2.57
BEEF,2.57
BEEF,2.72
BEEF,2.24
BEEF,2.71
BEEF,2.2
BEEF,2.74
BEEF,2.28
BEEF,2.83
BEEF,2.33
BEEF,2.93
BEEF,2.4
BEEF,2.85
BEEF,2.35
BEEF,1.84
BEEF,1.86
BEEF,1.74
BEEF,1.84
BEEF,1.86
BEEF,1.74
BEEF,2.18
BEEF,2.22
BEEF,2.15
BEEF,2.3
BEEF,2.43
BEEF,2.26
BEEF,3.27
BEEF,3.27
BEEF,3.27
BEEF,3.32
BEEF,3.32
BEEF,3.24
BEEF,3.32
BEEF,3.02
BEEF,3.59
BEEF,4.12
BEEF,3.11
BEEF,3.41
BEEF,3.37
BEEF,3.23
BEEF,3.47
BEEF,3.38
BEEF,3.25
BEEF,1.89
BEEF,1.96
BEEF,1.83
BEEF,1.96
